route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__home__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:20:40.186Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__product__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:22:40.183Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=6fc5c321-039a-49dd-b00a-23c6176ac496&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:22:50.849Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__orders__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:01.767Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=e560b8a9-256a-477f-a970-d84ccc5d0c36,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:12.399Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__settings__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:23.265Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__invite__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:33.715Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__legal__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:44.449Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:23:55.165Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__support__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:05.998Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:16.547Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:27.597Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=fdf3a4cb-54ce-4355-a2dc-e3f7bdd15e38,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:38.247Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:48.897Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=3537ce5e-8242-4615-8cb9-0fe53b78ef4b,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:24:59.997Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:25:10.380Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=872037ac-167f-4a97-b3bf-fc8c3aa7d23d,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:25:21.097Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-members__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:25:32.147Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-member/index,id=d84cd1cf-1cfd-4d15-8073-b7c78488fd6b,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-member__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:25:42.996Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__referral__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:25:53.694Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community-compose__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:04.395Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-post/index,id=da3a4c15-c22d-451a-8282-dadc5fadf10e,护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community-post__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:14.844Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-author/index,id=d4781ea2-8852-41ad-8311-9c68e72ab8e2,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community-author__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:25.728Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-review/index,id=0dec8ace-ee02-485c-8738-bb95488af0b7,社区内容审核,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community-review__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:36.594Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community-activity__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:47.045Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-finance__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:26:57.678Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__commission__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:27:10.910Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-privacy/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-privacy__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:27:21.476Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-fulfillment/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__management-fulfillment__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:27:32.309Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
