route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__home__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:38:56.771Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=fe83264d-62d4-4a39-928d-9dd0d51a6ecf&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:03.443Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__orders__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:13.927Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=b5ea56f8-07c5-4c20-9669-b74a5b86ad90,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:24.128Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__settings__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:34.378Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__invite__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:44.545Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__legal__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:41:55.180Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:05.594Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__support__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:15.864Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:26.263Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:36.813Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=d1db38d0-c146-4dd2-b43e-c24b4f9fe595,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:47.180Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:42:57.381Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=9cdf0ab0-8b78-4980-9889-3cdb4e797d53,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:43:07.980Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:43:18.381Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=fa6351fb-bf38-4af2-ae11-d3e43d2c7ade,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:43:29.182Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-members__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:43:39.683Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-member/index,id=3b8d97d6-8b10-4d7b-ae21-157b078f0612,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-member__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:43:50.282Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__referral__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:00.897Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__community-compose__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:11.515Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-post/index,id=a26d7636-5305-4ba7-924b-89eee248e6d0,护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__community-post__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:21.782Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-author/index,id=24a1e84c-ad67-4c40-b59a-d88214dc713e,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__community-author__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:32.215Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-review/index,id=d4f8b6ea-afad-4ff9-90b5-33dc37f5bd3a,社区内容审核,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__community-review__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:42.983Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__community-activity__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:44:53.299Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-finance__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:45:03.500Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__commission__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:45:16.583Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-privacy/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-privacy__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:45:27.216Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/aftersale/index,orderId=9cdf0ab0-8b78-4980-9889-3cdb4e797d53,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__aftersale__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:45:37.767Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-fulfillment/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_468508d210e71f3568687097; schema 76; no production data,screenshots/raw/pages__management-fulfillment__index.png,local-worktree:a659e050ef32+6ec7f596056c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T01:45:48.550Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
