route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__home__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:24:12.646Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__product__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:26:13.346Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=93d53658-4fb4-46ff-a86e-49f6d5061092&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:26:24.446Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__orders__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:26:35.548Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=8976bd79-45d7-45e5-8ea7-d26d63696c6f,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:26:46.498Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__settings__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:26:57.130Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__invite__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:27:07.947Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__legal__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:27:18.748Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:27:29.613Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__support__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:27:40.299Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:27:51.198Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:02.012Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=4a984bb5-aef3-47b6-87b7-a8bf0f11c03e,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:12.831Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:23.515Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=4767df9a-9b5b-4192-9a34-e8867a467fb0,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:34.516Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:45.166Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=09c7d393-43bf-4842-820b-afeac6eb5599,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:28:56.014Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-members__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:29:06.697Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-member/index,id=37d8d09f-ae9e-4053-87df-1fd7dd53b953,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-member__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:29:17.332Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__referral__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:29:28.015Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-compose__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:29:38.683Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-post/index,id=60f8639c-54dc-4985-a2dd-20a2da70dffe,护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-post__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:29:49.916Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-author/index,id=b456a451-522e-43c4-a582-c53659f8ae19,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-author__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:00.699Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-review/index,id=1c0160c3-5f86-4aa7-b2ef-3a93430f9b3b,社区内容审核,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-review__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:11.467Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-activity__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:22.182Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-finance__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:33.283Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__commission__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:47.033Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-privacy/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-privacy__index.png,local-worktree:11eff1689b52+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:30:57.800Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
