route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-product/index,id=b7d17789-6bcf-4a29-8727-7f21d02914ba,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-order-detail/index,id=071c6a75-7ee3-44f4-9604-dae97216c984,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-support-chat/index,id=a6b77781-8a44-4c64-a987-884e9b6c207c,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-member/index,id=74a64418-04ba-4054-92a7-d5330ed30625,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-post/index,,护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-author/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-review/index,,社区内容审核,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
