route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__home__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:42:20.807Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__product__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:44:21.025Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=93d53658-4fb4-46ff-a86e-49f6d5061092&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:44:31.457Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__orders__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:44:42.325Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=8976bd79-45d7-45e5-8ea7-d26d63696c6f,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:44:52.791Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__settings__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:03.775Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__invite__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:14.541Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__legal__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:25.225Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:35.842Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__support__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:46.378Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:45:57.526Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:46:08.509Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=4a984bb5-aef3-47b6-87b7-a8bf0f11c03e,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:46:19.492Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:46:30.844Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=4767df9a-9b5b-4192-9a34-e8867a467fb0,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:46:41.377Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:46:52.195Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=09c7d393-43bf-4842-820b-afeac6eb5599,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:02.994Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-members__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:13.911Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-member/index,id=37d8d09f-ae9e-4053-87df-1fd7dd53b953,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-member__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:24.626Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__referral__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:35.660Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-compose__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:46.253Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-post/index,id=60f8639c-54dc-4985-a2dd-20a2da70dffe,护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-post__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:47:57.186Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-author/index,id=b456a451-522e-43c4-a582-c53659f8ae19,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-author__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:48:07.952Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-review/index,id=1c0160c3-5f86-4aa7-b2ef-3a93430f9b3b,社区内容审核,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-review__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:48:18.469Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__community-activity__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:48:29.452Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-finance__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:48:40.068Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__commission__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:48:53.168Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-privacy/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_fc11f18b9a951bbbced4fb05; schema 75; no production data,screenshots/raw/pages__management-privacy__index.png,local-worktree:c63768a93fa8+f376c8e0a5ad,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-22T23:49:03.835Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
