route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__home__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:13.475Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__settings__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:11.308Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__invite__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:22.124Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__legal__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:32.827Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:43.608Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__support__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:54.225Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:05.007Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:15.291Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=284bf9d1-0d1f-44e9-9c4a-9359a1de5df7,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:26.057Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:37.041Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=a7ef8a62-9fcc-47f1-93e0-7b8396423b90,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:47.624Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:24:58.823Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=7327a18f-7297-4ace-a6cb-c5040ef19c41,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:25:09.428Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
